2,wrong teacher,"Посилання, по якому ви перейшли, недійсне"
3,teacher_text,"<b>Ви заповнюєте анкету викладача {teacher.name}</b>

Дуже важливо, щоб на окремі запитання ти відповідав об'єктивно. 
Загальне ставлення до викладача можна виразити у питанні “Чи варто, на вашу думку, подовжувати контракт цьому викладачу”. 
На інші питання краще відповідати неупереджено - так буде краще видно недоліки та переваги."
4,teacher_type_LECTOR,Лекції
5,teacher_type_PRACTIC,Практики
6,teacher_type_LECTOR_PRACTIC,Лекції та практики
7,choose_teacher_type,"Оберіть, що у вас вів викладач."
8,open_question_text,"<b>Вільний мікрофон. </b>
<i>Короткі зауваження, пропозиції або історія про викладача. (Це може бути опубліковано анонімно)</i>

Натисніть /skip, щоб пропустити."
9,confirm_open_question_text,"Щоб зберегти анкету натисніть /confirm.
Якщо ви хочете змінити відповідь - надішліть її."
10,result_save_error,Помилка.
11,result_save_success,Результат збережено.
12,same_teacher_again,⚠️Ви вже проходили анкету по цьому викладачу. Результат буде перезаписано.
13,group_teachers_text,"<b>Проводим опрос качества преподавания за предыдущий семестр.</b>

Это отличная возможность похвалить или поругать преподавателя, что бы об этом все узнали.
    
Даже администрация факультета следит за результатами.
    
Результат будет здесь: {results_link}

{teachers}

Группа: <b>{group_name}</b>"
14,no_start_cmd,"У цього бота немає команди /start. Щоб заповнити анкету, перейдіть за посиланнями, які вам надішле староста."
15,btn_reset_2g1u,Анулювати попередню анкети
16,two_group_one_user,"⛔️Ви до цього вже заповнювали анкети використовуючи посилання групи <b>{other_group}</b>.
Зараз Ви намагаєтеся пройти анкету для групи <b>{cur_group}</b>.

Якщо Ви заповнили попередню анкету випадково - натисніть кнопку ""Анулювати попередню анкети"".
Якщо Ви перейшли за <i>цим</i> посиланням випадково - ігноруйте це повідомлення і продовжуйте проходити анкети для {other_group}"
17,teacher_type_chosen,
18,other_teachers_in_group_text,
